n	wpId	dateText	title	secondaryKeywords	rawCandidateTags	summary	textStart
61	29146	February 26, 2022	Ask Bart Anything!  Blog Event March 6		reader-questions; public-forum	On Sunday March 6, 4:00 – 5:15 EST we are holding a blog event which will be a two-way affair: I will have the pleasure of trying to answer questions participants have and participants will have the pleasure of stumping me with questions I can’t answer. And a good time will be had by all!	Ask Bart Anything! Blog Event March 6 February 26, 2022 On Sunday March 6, 4:00 – 5:15 EST we are holding a blog event which will be a two-way affair: I will have the pleasure of trying to answer questions participants have and participants will have the pleasure of stumping me with questions I can’t answer. And a good time will be had by all! This will be a fundraiser for Doctors Without Borders. Donations are voluntary but encouraged for this great cause. To learn more, keep reading; to regist
62	28761	January 18, 2022	Special Live Event:  What Book Should I Write Next?	Revelation	new-testament; heaven-hell; public-forum	I am excited to announce a new and unusual fund raiser for the blog, to take place on Thursday January 27 at 7:30 pm EST. For anyone who is willing to make a donation, I will be holding a discussion on: “What Book Should I Write Next?	Special Live Event: What Book Should I Write Next? January 18, 2022 I am excited to announce a new and unusual fund raiser for the blog, to take place on Thursday January 27 at 7:30 pm EST. For anyone who is willing to make a donation, I will be holding a discussion on: “What Book Should I Write Next?” Those who come will be able to talk it over with me and give me their opinions. Here’s the deal. I have all but finished my book on Revelation: Expecting Armageddon: What Revelation Really Reveals
63	28617	January 6, 2022	Did you know that Gold Members can get the full audio feed in their favorite Podcast Player?	Bart Ehrman	textual-criticism; blog-news; public-forum	Most of you probably know that gold members have access to the audio version of each post, but did you know that gold members can subscribe directly to the feed in their favorite podcast player?	Did you know that Gold Members can get the full audio feed in their favorite Podcast Player? View Larger Image January 6, 2022 Most of you probably know that gold members have access to the audio version of each post, but did you know that gold members can subscribe directly to the feed in their favorite podcast player? This is a convenient way to keep up with the blog. Your podcast app will notify you when there are new posts available, and it can be set to automatically download them for later
64	28633	January 5, 2022	Did Abraham Actually Do It?  Did He Sacrifice His Son Isaac?  Platinum Guest Post by Douglas Wadeson	Abraham; Isaac; Early Christianity; Genesis; Moses; Genesis 22:1; Hebrews 11:19; Ishmael; Jacob	new-testament; hebrew-bible; early-christianity; heaven-hell; roman-world; judaism; reader-questions; blog-news	Did Abraham Actually Do It? Did He Sacrifice His Son Isaac?	Did Abraham Actually Do It? Did He Sacrifice His Son Isaac? Platinum Guest Post by Douglas Wadeson January 5, 2022 Do you like controversy? Well HERE’S some controversy for you. Maybe Abraham actually went through with it and slew his son. What? Read on. Here’s a scintillating guest post by Platinum member Doug Wadeson. I’m sure he’ll answer your questions. I’m sure if I were you I’d have some! Remember: you too can submit a guest post as a Platinum member, for other Platinum members. And it has
65	28504	December 31, 2021	End of the Year Assessment:  The Blog, 2021	Early Christianity; Paul	paul; new-testament; early-christianity; canon; heaven-hell; reader-questions; blog-news; public-forum	Here we are at the end of the year. What a year.	End of the Year Assessment: The Blog, 2021 December 31, 2021 Here we are at the end of the year. What a year. We thought we would see the end of the pandemic and the good times would roll. Well, not exactly. They sure seemed about to roll but, nope, just when we thought the thing was ending … hello Omicron! I hope you have come through it OK so far, and that you can keep safe as we move forward. Not for all, but for some there have been bright spots through the darkness, and we should certainly 
66	28422	December 29, 2021	What I’m Reading These Days.  You?	Christmas; Eve; Early Christianity; Archaeology; Jesus	jesus; gospels; new-testament; hebrew-bible; early-christianity; textual-criticism; canon; church-history	Before Christmas this year I read Dickens’ A Christmas Carol. It’s a great story.	What I’m Reading These Days. You? December 29, 2021 Before Christmas this year I read Dickens’ A Christmas Carol. It’s a great story. (Novella? It’s about a hundred pages in my edition.) I used to read it every year. In my first marriage, for a number of years, my wife and I read it out loud to each other on Christmas Eve. Just about everyone knows the story but almost always from the movies and stage productions. Most of those are just fine, some are actually pretty good. BUT, there is nothing 
67	28254	December 15, 2021	Strawmanning Ehrman:  Guest Post by Kurt Jaros	Misquoting Jesus; Bart Ehrman; 1 Peter; Jesus; 1 Peter 3:16	jesus; reader-questions; public-forum	Strawmanning Ehrman: Guest Post by Kurt Jaros View Larger Image December 15, 2021	Strawmanning Ehrman: Guest Post by Kurt Jaros View Larger Image December 15, 2021 This now is the next post by Kurt Jaros, who himself is a Christian theologian and apologist but who explains how other conservative apologists have misrepresented me. For the record, I swear, I ain’t payin’ him to say this! Kurt will be happy to respond to your comments or questions. Enjoy! Misquoting Ehrman – Part Two: Strawmanning Ehrman “In this video, I begin exploring how it is that some Christian scholars an
68	28262	December 14, 2021	A Suggestive Story in the Book of Ruth	Ruth; Hebrew Bible; Jacob	hebrew-bible; reader-questions; blog-news; hebrew-bible-old-testament	In my previous post I talked about the book of Ruth, a gem of a short-story in the Hebrew Bible. Now that I’ve explained how the plot works, I’d like to make just a couple of points about what it is trying to teach, starting with a comment about an episode that many readers over the years have found rather intriguing.	A Suggestive Story in the Book of Ruth December 14, 2021 In my previous post I talked about the book of Ruth, a gem of a short-story in the Hebrew Bible. Now that I’ve explained how the plot works, I’d like to make just a couple of points about what it is trying to teach, starting with a comment about an episode that many readers over the years have found rather intriguing. It is definitely one of the confusing and suggestive passages in the book. It comes in chapter 3, where Ruth and her rich (
69	28257	December 12, 2021	A Great Short Story in Scripture:  The Book of Ruth	Ruth; Pentateuch; Old Testament; Hebrew Bible; Deuteronomy; David; Deuteronomy 23:3; Numbers 25:1-5; Leviticus 19:9; Deuteronomy 24:19; Deuteronomy 25:5-10; Ruth 4:10; Jonah; Moses	hebrew-bible; textual-criticism; canon; judaism; reader-questions; hebrew-bible-old-testament	It’s been a long while since I’ve posted much of anything on the Old Testament, and it’s high time I did so! As I have announced recently, in February I’ll be publishing a six-lecture course on the Pentateuch (the first five books) – one of the most influential collection of books in the history of civilization.	A Great Short Story in Scripture: The Book of Ruth December 12, 2021 It’s been a long while since I’ve posted much of anything on the Old Testament, and it’s high time I did so! As I have announced recently, in February I’ll be publishing a six-lecture course on the Pentateuch (the first five books) – one of the most influential collection of books in the history of civilization. There are lots of other amazing books in the Old Testament as well, and it’s a real pity people don’t read them more.
70	28182	November 25, 2021	A Thanksgiving Reflection, 2021	Early Christianity; Jesus	jesus; gospels; new-testament; early-christianity; suffering-evil; reader-questions; blog-news; public-forum	I love Thanksgiving. Absolutely love it.	A Thanksgiving Reflection, 2021 November 25, 2021 I love Thanksgiving. Absolutely love it. For me it’s the best holiday of the year – family, friends, food, and football. How good can it get? (OK, a lot of my family and friends would drop the football.) And it’s always a time for me actually to realize how much good there is in the world and in my life. On the other hand, every Thanksgiving has a darkside for me, a sense of guilt that I myself have so much to be thankful for. Isn’t that a bit tr
71	28151	November 21, 2021	Must Jesus Divide Families? Part 2 of 2.   Platinum  Guest post by Douglas Wadeson	Jesus; Gospels (General); Matthew; Bart Ehrman; Mark; Matthew 19:3-9; Mark 9:36; Matthew 5:44; Paul	jesus; gospels; paul; early-christianity; heaven-hell; judaism; reader-questions; blog-news	Must Jesus Divide Families? Part 2 of 2.	Must Jesus Divide Families? Part 2 of 2. Platinum Guest post by Douglas Wadeson November 21, 2021 This is the second of two posts by Doug Wadeson on a divisive aspect of Jesus’ ministry; there are comments in the Gospels that he would divide families. How are we to understand that? Doug’s first post o the matter was on October 21: Must Jesus Divide Families? Platinum Guest Post by Douglas Wadeson | The Bart Ehrman Blog This is the wrap up. What do you think? Make some comments and he’ll be happy
72	27939	November 16, 2021	Really Riled By O’Reilly	Mary Magdalene; Constantine; Jesus; Mary; Early Christianity; Herod	jesus; new-testament; early-christianity; forgery-authorship; suffering-evil; roman-world; church-history; reader-questions	Here I continue my rather, uh, aggressive critique of Bill O’Reilly’s Killing Jesus.	Really Riled By O’Reilly November 16, 2021 Here I continue my rather, uh, aggressive critique of Bill O’Reilly’s Killing Jesus. ****************************** OK, I know I promised to read and review Killing Jesus. But I’m not sure I can do it. It’s just so aggravating. Pointing out its flaws is like shooting fish in a barrel. I’ll make one general comment in this post and in the next one mention one of the leading themes of the book to show why its so problematic and then, unless I have a compl
73	27410	September 18, 2021	Was Peter the First Pope?	Peter; Paul; Martyrdom (General); Mary Magdalene; Mary; Jesus; Church History; Eusebius; Mission; James; Mark; Galatians 2:9; Galatians 2:12; Galatians 2:11-14; 1 Corinthians 1:12; Romans 1:13; Apollos	jesus; gospels; paul; new-testament; forgery-authorship; resurrection; martyrdom; suffering-evil	Several people have recently asked (in reference to that pop quiz I gave to my class this semester) whether it is in fact right that Peter was the first pope. I dealt with the question a few years ago, along with another interesting tradition about Peter.	Was Peter the First Pope? September 18, 2021 Several people have recently asked (in reference to that pop quiz I gave to my class this semester) whether it is in fact right that Peter was the first pope. I dealt with the question a few years ago, along with another interesting tradition about Peter. Here’s the question I got and my response. QUESTION: Is there any historical evidence that the apostle Peter was the first Bishop of Rome and that he was martyred upside down on a cross? RESPONSE: Ah
74	27246	September 7, 2021	Weird (But Common) Ways To Read the Bible	Mark; Isaiah 13:9; Zechariah 4:6; 2 Peter 1:20-22; 1 Corinthians 15:51-52; Daniel 7:13; Revelation 22:10; Jesus	jesus; gospels; paul; new-testament; hebrew-bible; forgery-authorship; heaven-hell; roman-world	It constantly amazes me that so many people who believe the Bible never read it. My undergraduate students (to this day) have read the Harry Potter books.	Weird (But Common) Ways To Read the Bible September 7, 2021 It constantly amazes me that so many people who believe the Bible never read it. My undergraduate students (to this day) have read the Harry Potter books. But when I ask if they have read the entire Bible, the answer is almost always no. And yet most of them will say the Bible comes from God. So I ask them: “I can understand why you’d want to read a book by J. K. Rowling, but if GOD wrote a book wouldn’t you want to see what he had to s
75	27037	August 21, 2021	What Do YOU Think?   A Matter of Life and Death		suffering-evil; heaven-hell; reader-questions; public-forum	I’ve decided to try something new on the blog today. I’d like *your* view about something, your honest opinion based on serious expertise or complete non-expertise.	What Do YOU Think? A Matter of Life and Death August 21, 2021 A NEW BLOG FEATURE! I’ve decided to try something new on the blog today. I’d like *your* view about something, your honest opinion based on serious expertise or complete non-expertise. For this new feature, which I’m calling “What Do You Think?”, I will NOT be responding to comments/questions, I’ll simply be posting them, without making a reply, comment, question, or anything else to, so you can express yourself and have others can se
76	27195	August 20, 2021	When / If you have a blog problem!		public-forum	I regularly get comments on one of my posts from a member who is having some kind of technical problem — for example, only part of the post shows up for them, or they can’t seem to access something etc. (Other people have problems with what I actually *say*, but that’s a different matter….)	When / If you have a blog problem! August 20, 2021 I regularly get comments on one of my posts from a member who is having some kind of technical problem — for example, only part of the post shows up for them, or they can’t seem to access something etc. (Other people have problems with what I actually *say*, but that’s a different matter….). Sometimes there are indeed technological problems that arise. What to do? The VERY BEST thing is to contact our help staff. I won’t get to your comment a da
77	27152	August 18, 2021	It’s Coming Soon	Gold Q&A; Q&A	reader-questions; blog-news; public-forum	Many apologies. Because of production problems (involving me, the producer) I have not been able to get the Gold Q&A uploaded for your listening pleasure.	It’s Coming Soon August 18, 2021 But we don’t know when…. Many apologies. Because of production problems (involving me, the producer) I have not been able to get the Gold Q&A uploaded for your listening pleasure. It may yet be a couple of days. I’ve recorded it — there were some fantastic questions, including some I couldn’t get to — and even the recording was an adventure (my power cut out half way through….). But, well, it’ll be two or three days. Sorry ’bout that. But no worries, with us mere
78	26976	August 17, 2021	The Essence of Religious Literacy: A Christian Perspective. Guest Post by Fredrick Ackun	History and Theology; Jesus	jesus; new-testament; textual-criticism; canon; reader-questions; blog-news; public-forum; reflections-ruminations	As you probably know, Platinum members of the blog receive several additional perks — a quarterly webinar with me, a chance to provide a “guest post” for Platinum members only, and so on. After several of the guest posts have been posted, the Platinum members vote on one of them to be posted on the entire blog for all blog members to read.	The Essence of Religious Literacy: A Christian Perspective. Guest Post by Fredrick Ackun August 17, 2021 As you probably know, Platinum members of the blog receive several additional perks — a quarterly webinar with me, a chance to provide a “guest post” for Platinum members only, and so on. After several of the guest posts have been posted, the Platinum members vote on one of them to be posted on the entire blog for all blog members to read. Would you be interested in getting in on that action?
79	27091	August 14, 2021	A Blog Event!  Want to Join a three-week Blog Book Club??	Misquoting Jesus; Jesus; Bart Ehrman; Timothy; Paul; Q&A	jesus; paul; reader-questions; public-forum	Are you interested in joining a Blog Book Club (the BBC)? We’re going to give one a try!	A Blog Event! Want to Join a three-week Blog Book Club?? August 14, 2021 Are you interested in joining a Blog Book Club (the BBC)? We’re going to give one a try! This will function as a fund-raiser for the blog. This first BBC will involve three meetings over the course of three weeks, discussing one of my books and a published (unfavorable!) response to it. I will be joining participants in the third meeting for a Q&A about it all. The first week all participants will read and discuss my book M
80	27047	August 7, 2021	For Blog Members in the U.K.!   Special Zoom Event.	Heaven/Hell; Revelation; Heaven; Hell; Blog Dinner; Jesus	jesus; new-testament; heaven-hell; blog-news; public-forum	Are you on the blog? Do you live in the U.	For Blog Members in the U.K.! Special Zoom Event. August 7, 2021 Are you on the blog? Do you live in the U.K.? Well lucky you! A group of blog members who came to a London Blog Dinner last month have decided to host a UK Zoom meeting among themselves, to discuss topics of mutual interest. For and by Brit Bloggers! It is scheduled for Tuesday, Aug 10, 2021, 8:00 pm (London time). The organizer is Angus Nisbet. If you need additional information, you can reach him here: anisbet@nhs.net Below are t
81	26983	July 30, 2021	Congratulations Fredrick Ackun!	Gospel of Luke	gospels; canon; blog-news; public-forum	The voting is in on the Platinum guest posts. Among four options, one is to be published on the blog itself for all members.	Congratulations Fredrick Ackun! July 30, 2021 The voting is in on the Platinum guest posts. Among four options, one is to be published on the blog itself for all members. I’m pleased to announce that the winning post is the Essence of Religious Literacy: A Christian Perspective. Guest Post by Fredrick Ackun. The post will appear on August 16, if all goes to plan. I have to say it was an extraordinarily close vote. We had four outstanding choices and only one could win. But thanks to all four pos
82	26796	July 29, 2021	Were Cephas and Peter Two Different People?  A Blast from the Past	Peter; Eusebius; Paul; John 1:42; Jesus	jesus; gospels; paul; new-testament; early-christianity; apocrypha; textual-criticism; forgery-authorship	Five years ago on the blog I started a thread that I never quite finished, for reasons long forgotten, but I sometimes get asked about it. It involved an issue that the vast majority of avid Bible readers — including professional scholars — have never even considered.	Were Cephas and Peter Two Different People? A Blast from the Past July 29, 2021 Five years ago on the blog I started a thread that I never quite finished, for reasons long forgotten, but I sometimes get asked about it. It involved an issue that the vast majority of avid Bible readers — including professional scholars — have never even considered. I staked out a position on the issue and then later indicated that I was not completely satisfied with my answer. My plan had been to explain my doubts
83	26730	July 24, 2021	Nazis and the Meaning of the Word “Jew”: Guest Post by Jason Staples	Judaism; Paul; Debates; Romans 11:26; John 4:9; Jesus	jesus; gospels; paul; new-testament; roman-world; judaism; reader-questions; blog-news	I am very pleased to announce that the book of my former student, Jason Staples, The Idea of Israel in Second-Temple Judaism, has just appeared from Cambridge University Press. Jason did his PhD here at UNC and this is part of his dissertation.	Nazis and the Meaning of the Word “Jew”: Guest Post by Jason Staples July 24, 2021 I am very pleased to announce that the book of my former student, Jason Staples, The Idea of Israel in Second-Temple Judaism, has just appeared from Cambridge University Press. Jason did his PhD here at UNC and this is part of his dissertation. I say “part” because the dissertation was large, and he has divided it into two separate monographs; the second will be dealing with how the term “Israel” is used in the wr
84	26674	July 14, 2021	Comments on Blog Comments!		new-testament; early-christianity; church-history; reader-questions; blog-news; public-forum	In this post I would like to address some questions I have received about blog “comments” and in so doing reaffirm the blog’s policies and procedures.	Comments on Blog Comments! July 14, 2021 In this post I would like to address some questions I have received about blog “comments” and in so doing reaffirm the blog’s policies and procedures. As all of you know, blog members at the Silver, Gold, or Platinum level are allowed to make comments on posts and respond to comments of others. The limit is 200 words for a comment and only two per day are allowed. These limits are designed to help commenters keep their remarks direct and on point, and to 
85	26526	July 1, 2021	Was Jesus Like One of the Pagan Fertility Gods?	Jesus; Resurrection; Ben Witherington; Judaism; Paul	jesus; paul; early-christianity; resurrection; suffering-evil; heaven-hell; roman-world; judaism	Lots of people (esp. on the Internet!)	Was Jesus Like One of the Pagan Fertility Gods? July 1, 2021 Lots of people (esp. on the Internet!) say that the stories of Jesus’ death and resurrection were modeled on widespread beliefs in the pagan world of “fertility” gods, whose life-cycle dictates the fertility of the earth. They are born (spring); they become productive as the earth becomes fertile (summer); they become ripe for harvest (autumn); and then they die (winter). But they “rise again” (spring) and the pattern then repeats itse
86	25914	May 30, 2021	What About Authors Who “Just Want to Sell Books”?	Misquoting Jesus; Trade Books; Jesus; Paul	jesus; gospels; paul; new-testament; textual-criticism; forgery-authorship; resurrection; miracles	I was looking through some old posts from years ago, and came across this one, which continues to be an issue for me. It’s the kind of thing I continue to hear on occasion, and so I thought maybe it was worth approaching again.	What About Authors Who “Just Want to Sell Books”? May 30, 2021 I was looking through some old posts from years ago, and came across this one, which continues to be an issue for me. It’s the kind of thing I continue to hear on occasion, and so I thought maybe it was worth approaching again. Sometimes I hear someone criticize me, or another author, by saying “he just wants to sell books.” That has always struck me as a very strange thing to say. Of course I want to sell books. Why else would I wri
87	25735	April 27, 2021	My Smithsonian Seminar: This Saturday!!	Early Christianity; Lectures; Bart Ehrman; Q&A; Old Testament; Jesus; Peter; Paul; Moses	jesus; paul; new-testament; hebrew-bible; early-christianity; canon; judaism; reader-questions	Do you know about the Smithsonian Associates? It’s a great organization that, among other things, puts on lectures and day-long seminars by scholars and experts in all sorts of areas, including religion.	My Smithsonian Seminar: This Saturday!! April 27, 2021 Do you know about the Smithsonian Associates? It’s a great organization that, among other things, puts on lectures and day-long seminars by scholars and experts in all sorts of areas, including religion. For years and years they were live events in Washington D.C. as part of the Smithsonian (on the Mall); for the past year or so they have been remote Zoom events. In some ways, these Zoom events are even better: you can come without flying to
88	24786	April 6, 2021	When Belief Dies Guest Post by Sam Devis!	Noah	gospels; suffering-evil; reader-questions; public-forum	My previous post was an interview with Sam Devis for his podcast “When Belief Dies. ” Sam is an active volunteer on the blog and has an interesting background.	When Belief Dies Guest Post by Sam Devis! View Larger Image April 6, 2021 My previous post was an interview with Sam Devis for his podcast “When Belief Dies.” Sam is an active volunteer on the blog and has an interesting background. I thought it would be interesting to have him write up an explanation of why he does this podcast, where it comes from, and how he personally relates to it. As you can no doubt guess, he is indeed one for whom belief has died. Here is what he has to say: Sam Devis: W
89	24413	March 3, 2021	Apologies about the Comments!		blog-news; public-forum	Many apologies to Silver, Gold, and Platinum members. We are having a technical difficulty with comments on posts.	Apologies about the Comments! March 3, 2021 Many apologies to Silver, Gold, and Platinum members. We are having a technical difficulty with comments on posts. Ugh. But we’re on it and will soon get it resolved.
90	24074	March 2, 2021	The Stories We Tell: Guest Post by Robin Jones	Jesus; Paul; Suffering; John	jesus; gospels; paul; miracles; suffering-evil; judaism; church-history; reader-questions	As many of you know, a few months ago I invited my long time friend and erstwhile fellow-student at Moody Bible Institute, Robin Jones, to write a some posts for the blog. Robin continues to be an evangelical Christian and is deeply committed to important social issues that I think just about all of us are also concerned about: hunger, homelessness, suffering, and justice.	The Stories We Tell: Guest Post by Robin Jones March 2, 2021 As many of you know, a few months ago I invited my long time friend and erstwhile fellow-student at Moody Bible Institute, Robin Jones, to write a some posts for the blog. Robin continues to be an evangelical Christian and is deeply committed to important social issues that I think just about all of us are also concerned about: hunger, homelessness, suffering, and justice. Here now is her third and final post. I hope you find it both i
91	23938	February 20, 2021	A Christian Is Not Necessarily a Disciple (Monthly Platinum Post: Douglas Wadeson)	Jesus' Teachings; Jesus; Prophets; Old Testament; Heaven; Messiah; Matthew; Wealth; James; Matthew 25:34-36; Matthew 19:23-24; Luke 14:33; James 5:1-6; John 3:16; 1 Corinthians 15:1-19; Matthew 7:21; Paul; Moses	jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; resurrection; canon	As many of you know, one of the perqs of being a Platinum member of the blog is that at this level everyone is given the opportunity to make a post of their own, distributed only to Platinum members. For these posts, members can talk about nearly anything they want, so long as it is related to the blog and not grievously snarky.	A Christian Is Not Necessarily a Disciple (Monthly Platinum Post: Douglas Wadeson) February 20, 2021 As many of you know, one of the perqs of being a Platinum member of the blog is that at this level everyone is given the opportunity to make a post of their own, distributed only to Platinum members. For these posts, members can talk about nearly anything they want, so long as it is related to the blog and not grievously snarky. So far, we haven’t had a snark at all. I post one of these a week, a
92	23722	February 19, 2021	Interested in Going to Rome with Me?	Lectures	paul; early-christianity; roman-world; public-forum	As we are all so painfully aware, almost all travel holidays this past year were canceled. But now many tour companies are optimistic that by late spring or early summer, with widespread vaccination internationally, travel will resume.	Interested in Going to Rome with Me? February 19, 2021 As we are all so painfully aware, almost all travel holidays this past year were canceled. But now many tour companies are optimistic that by late spring or early summer, with widespread vaccination internationally, travel will resume. We will know eventually! I have been asked to do a special tour to Rome and Southern Italy, June 4-14, 2021, (THIS June!) to give lectures on the relationship of Christianity and traditional Roman religions an
93	23986	February 11, 2021	The Essence of Religious Literacy: A Christian Perspective. Platinum Guest Post by Fredrick Ackun	History and Theology; Jesus	jesus; new-testament; textual-criticism; canon; reader-questions; blog-news; reflections-ruminations	I am pleased to present now a very thoughtful guest post by Platinum member Fredrick Ackun! To respond, simply make a comment, and he will be able to reply.	The Essence of Religious Literacy: A Christian Perspective. Platinum Guest Post by Fredrick Ackun February 11, 2021 I am pleased to present now a very thoughtful guest post by Platinum member Fredrick Ackun! To respond, simply make a comment, and he will be able to reply. I am looking for more contributions! Feel free to send one along, on any topic! *************************** In this post, I wish to share and elaborate a bit on some personal realizations I have made in my faith journey. They a
94	23711	February 3, 2021	Ask Bart Anything!  Live Zoom Chance for you to Pick My Brain and/or Stump Me	Lectures	reader-questions; public-forum	Ask Bart Anything!	Ask Bart Anything! Live Zoom Chance for you to Pick My Brain and/or Stump Me February 3, 2021 A number of people have suggested that it might be interesting for me to hold a live “Ask Me Anything” (AMA) session. I’ve been told that the term “AMA” is copyrighted (?!) and not open for public use. So we are going to call this an ABA (“Ask Bart Anything”). It will be over Zoom and will be open to anyone on the planet who wants to come. The format: I will take live questions both orally and through c
95	23479	January 28, 2021	Platinum Guest Post by Douglas Wadeson: A Christian Is Not Necessarily a Disciple, and Vice Versa. Part 2	Jesus; Messiah; Salvation; Heresy; Jesus' Teachings; 1 Corinthians 1:26-29; Acts 4:32; Paul	jesus; gospels; paul; new-testament; textual-criticism; resurrection; miracles; canon	This now is the second of Douglas Wadeson’s two-part post, presenting the flip side of his earlier one.	Platinum Guest Post by Douglas Wadeson: A Christian Is Not Necessarily a Disciple, and Vice Versa. Part 2 January 28, 2021 This now is the second of Douglas Wadeson’s two-part post, presenting the flip side of his earlier one. These Platinum guest posts have been terrific so far. I hope you too have enjoyed them. Soon we’ll vote on which of the four we’ve seen goes on the main blog site! But for now, here is Doug again. In my previous post I argued that it may be possible to be a “Christian” but
96	23276	January 19, 2021	A Christian is Not Necessarily a Disciple: Platinum Post by Douglas Wadeson	Jesus' Teachings; Jesus; Prophets; Christmas; Old Testament; Heaven; Wealth; Messiah; Matthew; James; Matthew 25:34-36; Matthew 19:23-24; Luke 14:33; James 5:1-6; John 3:16; 1 Corinthians 15:1-19; Matthew 7:21; Paul; Moses	jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; resurrection; canon	The weeks’ Platinum post comes to us from Douglas Wadeson, a long time member of the blog and recently retired (lucky fellow) physician. The post comes in two parts: the second part will appear next week.	A Christian is Not Necessarily a Disciple: Platinum Post by Douglas Wadeson January 19, 2021 The weeks’ Platinum post comes to us from Douglas Wadeson, a long time member of the blog and recently retired (lucky fellow) physician. The post comes in two parts: the second part will appear next week. Remember: this post, your comments about it, and any ensuing back and forth come to Platinum members only. (And remember: you too can submit a post! I hope you do so. Just send it to my assistant Diane 
97	23130	January 18, 2021	Guest Post Part 2 by New Testament Scholar Jeff Siker: Why I Am Still a Christian	Early Christianity; Homosexuality; Jesus; Suffering; Paul; Abraham	jesus; gospels; paul; new-testament; early-christianity; textual-criticism; canon; suffering-evil	This is re-post of part 2 of an interesting set of comments from exactly eight years ago by my friend and colleague Jeff Siker, a New Testament scholar who agrees with most of the critical views I have of the New Testament but who is still a believing and practicing Christian. To make fullest sense of this post, you should read it in conjunction with the one from yesterday.	Guest Post Part 2 by New Testament Scholar Jeff Siker: Why I Am Still a Christian January 18, 2021 This is re-post of part 2 of an interesting set of comments from exactly eight years ago by my friend and colleague Jeff Siker, a New Testament scholar who agrees with most of the critical views I have of the New Testament but who is still a believing and practicing Christian. To make fullest sense of this post, you should read it in conjunction with the one from yesterday. Jeff Siker is the author
98	23125	January 17, 2021	Guest Post by New Testament Scholar Jeff Siker:  Why I am Still a Christian	Early Christianity; Homosexuality; Jesus; Didymus the Blind; 2 Corinthians 4:7; Paul	jesus; gospels; paul; new-testament; early-christianity; canon; reader-questions; reflections-ruminations	Guest Post by New Testament Scholar Jeff Siker: Why I am Still a Christian January 17, 2021	Guest Post by New Testament Scholar Jeff Siker: Why I am Still a Christian January 17, 2021 Bart speaking: I often get asked how someone can be a scholar of the NT, understand all its critical problems, and yet still remain a Christian. That’s a mystery to many people. But it’s not a mystery to biblical scholars. I was looking back through old posts and saw that in the first year of the blog, eight years ago now, I asked my friend Jeff Siker, a well-published NT scholar and long time professor o
99	22828	December 30, 2020	Responses to my Newsweek Article on Jesus	Jesus; Gospels (General); Christmas	jesus; gospels; new-testament; forgery-authorship; canon; roman-world; reader-questions; blog-news	Just as happened the first time I made a couple of posts on the article I wrote about Christmas for Newsweek, this time too, in my reposts, I’ve been asked about the kinds of reactions I received. Back then I gave two follow up posts, and here is the first.	Responses to my Newsweek Article on Jesus December 30, 2020 Just as happened the first time I made a couple of posts on the article I wrote about Christmas for Newsweek, this time too, in my reposts, I’ve been asked about the kinds of reactions I received. Back then I gave two follow up posts, and here is the first. It’s a pretty funny one, from my perspective. I start out being completely defensive (not that I have a thin skin or anything) and cap it all off by emphatically insisting that I was
100	22720	December 15, 2020	A Holiday Season Request!		new-testament; public-forum	As we are all keenly aware: ‘Tis the Season to be giving! For many of us, in terms of giving at least, mid December is the best of times and the worst of times.	A Holiday Season Request! December 15, 2020 As we are all keenly aware: ‘Tis the Season to be giving! For many of us, in terms of giving at least, mid December is the best of times and the worst of times. It is best because we can show our love and gratitude to those close to us by choosing things to give them during the holidays; it is the worst because the commercialism that overwhelms our world often makes it such an obligatory drudgery. It would be so nice if we could just freely give to tho
101	22432	December 8, 2020	Are You Interested in a Platinum Membership?	Jesus	jesus; textual-criticism; heaven-hell; reader-questions; blog-news; public-forum	As you know, you have several choices for your membership on the blog – from the most popular Bronze level, where you can read all my posts with archives going back to 2012; to Silver, where you can do all that plus make and read members’ comments and questions, and my responses; to Gold, where you can do all that plus get audio versions of the posts; and up to Platinum. The Platinum has some unus	Are You Interested in a Platinum Membership? December 8, 2020 As you know, you have several choices for your membership on the blog – from the most popular Bronze level, where you can read all my posts with archives going back to 2012; to Silver, where you can do all that plus make and read members’ comments and questions, and my responses; to Gold, where you can do all that plus get audio versions of the posts; and up to Platinum. The Platinum has some unusual benefits; I thought it might be he
102	22351	November 22, 2020	Some Feedback on the New Blog ??	Early Christianity	new-testament; early-christianity; reader-questions; blog-news; public-forum	We are very pleased with the roll-out of the new blog site, and hope you are as well. The user experience appears to be much improved (or so it seems to us, and that is what we are hearing from you as well).	Some Feedback on the New Blog ?? November 22, 2020 This is a good time for some feedback from you, the members of the blog! We are very pleased with the roll-out of the new blog site, and hope you are as well. The user experience appears to be much improved (or so it seems to us, and that is what we are hearing from you as well). And yet it is still the same approach and format, with posts on a wide range of topics dealing with the New Testament and Early Christianity appearing five times a week
103	22150	November 20, 2020	On Ignorant Critics…	Jesus; Job	jesus; early-christianity; forgery-authorship; heaven-hell; barts-critics; barts-biography	Sometimes people say the most ridiculous things. Especially when they want to argue against you.	On Ignorant Critics… November 20, 2020 Sometimes people say the most ridiculous things. Especially when they want to argue against you. It’s amazing what people can dream up. And not just in politics – just in everyday life. You no doubt have noticed yourself… I want to talk about an instance of this which, for me, gets particularly bizarre near the end of this post. You probably have this experience too. People who don’t know me say all sorts of things that just make me scratch my head. WHAT???
